epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1710.59,0.95097,0.79314,1.16186,0.87143,0.80536,0.86476,0.48822,1.51685,1.03065,1.43902,0.000775822,0.000775822,0.000775822
56,1752.97,0.91203,0.73135,1.12934,0.91639,0.90713,0.91801,0.55191,1.45336,0.85085,1.37046,0.000759318,0.000759318,0.000759318
57,1787.67,0.95334,0.76728,1.14899,0.92065,0.88009,0.91298,0.5689,1.41304,0.84445,1.32922,0.000742815,0.000742815,0.000742815
58,1820.4,0.97715,0.78732,1.15941,0.9425,0.85417,0.91751,0.56034,1.35041,0.8395,1.2887,0.000726312,0.000726312,0.000726312
59,1852.06,0.91072,0.74892,1.14646,0.93543,0.87554,0.91638,0.57863,1.31338,0.79569,1.28823,0.000709809,0.000709809,0.000709809
60,1884.24,0.91349,0.71256,1.13412,0.96155,0.88194,0.92807,0.60915,1.25773,0.7358,1.2831,0.000693305,0.000693305,0.000693305
61,1918.29,0.89017,0.71429,1.11013,0.96047,0.84376,0.92555,0.56258,1.37871,0.7994,1.31532,0.000676802,0.000676802,0.000676802
62,1950.99,0.83205,0.67742,1.08816,0.9222,0.79215,0.88232,0.56314,1.44249,0.95529,1.40617,0.000660299,0.000660299,0.000660299
63,1982.49,0.89248,0.70168,1.11645,0.86918,0.81894,0.85268,0.5187,1.44035,0.95737,1.35539,0.000643795,0.000643795,0.000643795
64,2012.7,0.81679,0.65456,1.07911,0.87665,0.8088,0.85323,0.55804,1.2924,0.9088,1.26093,0.000627292,0.000627292,0.000627292
65,2042.78,0.88821,0.72676,1.11517,0.93004,0.84885,0.86616,0.60064,1.22129,0.84454,1.2206,0.000610789,0.000610789,0.000610789
66,2073.34,0.87534,0.74754,1.10187,0.92523,0.79167,0.92737,0.57618,1.38408,0.81237,1.3386,0.000594286,0.000594286,0.000594286
67,2103.24,0.8791,0.71201,1.1005,0.88874,0.90242,0.93589,0.60486,1.26929,0.77836,1.27382,0.000577782,0.000577782,0.000577782
68,2133.05,0.87805,0.70668,1.10722,0.94363,0.84252,0.91254,0.60308,1.29799,0.78336,1.29201,0.000561279,0.000561279,0.000561279
69,2163.3,0.80949,0.66839,1.08212,0.9594,0.88074,0.9341,0.59635,1.27425,0.74234,1.27893,0.000544776,0.000544776,0.000544776
70,2192.89,0.81483,0.69872,1.08823,0.93456,0.87465,0.92006,0.58867,1.30301,0.76653,1.26156,0.000528272,0.000528272,0.000528272
