epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1308.23,1.24456,1.19557,1.22446,0.73052,0.5,0.37613,0.06996,2.08093,7.58529,2.33903,0.000528272,0.000528272,0.000528272
71,1326.04,1.12687,1.09335,1.14072,0.73052,0.5,0.37613,0.06996,2.08093,7.58529,2.33903,0.000511769,0.000511769,0.000511769
72,1343.17,1.11986,1.06912,1.20272,0.73052,0.5,0.37613,0.06996,2.08093,7.58529,2.33903,0.000495266,0.000495266,0.000495266
73,1360.5,1.08966,1.1597,1.24537,0.73052,0.5,0.37613,0.06996,2.08093,7.58529,2.33903,0.000478762,0.000478762,0.000478762
74,1378.66,1.04496,1.24775,1.1238,0.19856,0.66667,0.38876,0.06859,2.32933,7.06282,2.23515,0.000462259,0.000462259,0.000462259
75,1396.08,0.86533,1.05153,1.14193,0.19856,0.66667,0.38876,0.06859,2.32933,7.06282,2.23515,0.000445756,0.000445756,0.000445756
76,1413.4,1.01298,1.06403,1.10365,0.19856,0.66667,0.38876,0.06859,2.32933,7.06282,2.23515,0.000429253,0.000429253,0.000429253
77,1431.08,0.93734,0.85976,1.10839,0.19856,0.66667,0.38876,0.06859,2.32933,7.06282,2.23515,0.000412749,0.000412749,0.000412749
78,1448.87,0.98049,1.13409,1.16155,0.67611,0.25,0.28652,0.14113,2.35976,6.16453,2.10176,0.000396246,0.000396246,0.000396246
79,1466.18,0.98929,0.97274,1.15027,0.67611,0.25,0.28652,0.14113,2.35976,6.16453,2.10176,0.000379743,0.000379743,0.000379743
80,1483.82,0.87984,0.83361,1.17953,0.67611,0.25,0.28652,0.14113,2.35976,6.16453,2.10176,0.000363239,0.000363239,0.000363239
81,1503.4,0.99282,1.25439,1.07277,0.67611,0.25,0.28652,0.14113,2.35976,6.16453,2.10176,0.000346736,0.000346736,0.000346736
82,1520.96,1.0008,0.94305,1.17636,0.85035,0.25,0.28576,0.13585,2.57863,5.63671,2.39017,0.000330233,0.000330233,0.000330233
83,1538.73,1.08217,1.02826,1.24774,0.85035,0.25,0.28576,0.13585,2.57863,5.63671,2.39017,0.000313729,0.000313729,0.000313729
84,1554.43,0.88485,0.85474,1.04191,0.85035,0.25,0.28576,0.13585,2.57863,5.63671,2.39017,0.000297226,0.000297226,0.000297226
85,1570.88,0.82639,0.82281,1.10074,0.85035,0.25,0.28576,0.13585,2.57863,5.63671,2.39017,0.000280723,0.000280723,0.000280723
86,1587.54,0.93444,0.83969,1.11961,0.92813,0.25,0.30309,0.14958,2.62918,5.06358,2.3788,0.00026422,0.00026422,0.00026422
87,1603.98,0.94282,1.13142,1.20639,0.92813,0.25,0.30309,0.14958,2.62918,5.06358,2.3788,0.000247716,0.000247716,0.000247716
88,1620.17,0.89409,0.90336,1.04268,0.92813,0.25,0.30309,0.14958,2.62918,5.06358,2.3788,0.000231213,0.000231213,0.000231213
89,1636.98,0.90126,0.76354,1.14135,0.92813,0.25,0.30309,0.14958,2.62918,5.06358,2.3788,0.00021471,0.00021471,0.00021471
90,1653.59,0.98996,0.88748,1.04658,0.92006,0.25,0.30438,0.09713,2.82891,4.85787,2.66725,0.000198206,0.000198206,0.000198206
91,1669.07,0.86415,0.93502,0.99687,0.92006,0.25,0.30438,0.09713,2.82891,4.85787,2.66725,0.000181703,0.000181703,0.000181703
92,1685.37,0.70133,0.95247,0.96087,0.92006,0.25,0.30438,0.09713,2.82891,4.85787,2.66725,0.0001652,0.0001652,0.0001652
93,1701.38,0.69814,0.87629,0.95791,0.92006,0.25,0.30438,0.09713,2.82891,4.85787,2.66725,0.000148696,0.000148696,0.000148696
94,1717.9,1.11402,1.29753,1.29271,0.93153,0.25,0.343,0.11631,2.60545,4.19733,2.53446,0.000132193,0.000132193,0.000132193
95,1733.67,0.75805,0.77829,0.99391,0.93153,0.25,0.343,0.11631,2.60545,4.19733,2.53446,0.00011569,0.00011569,0.00011569
96,1750.15,0.74914,0.87177,1.08121,0.93153,0.25,0.343,0.11631,2.60545,4.19733,2.53446,9.91865e-05,9.91865e-05,9.91865e-05
97,1766.69,0.87094,0.92469,0.98512,0.93153,0.25,0.343,0.11631,2.60545,4.19733,2.53446,8.26832e-05,8.26832e-05,8.26832e-05
98,1783.24,0.70335,0.8457,1.00505,0.92748,0.25,0.36476,0.09529,2.49488,3.82231,2.45146,6.61799e-05,6.61799e-05,6.61799e-05
99,1799.9,0.6678,0.76961,0.98355,0.92748,0.25,0.36476,0.09529,2.49488,3.82231,2.45146,4.96766e-05,4.96766e-05,4.96766e-05
100,1815.72,0.85016,0.85096,1.08896,0.92748,0.25,0.36476,0.09529,2.49488,3.82231,2.45146,3.31733e-05,3.31733e-05,3.31733e-05
