epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,606.331,0.99837,0.87474,1.16956,0.90561,0.90313,0.95269,0.61598,1.22657,1.00397,1.14701,0.000379743,0.000379743,0.000379743
80,614.025,0.99043,0.87291,1.15849,0.84291,0.91458,0.93917,0.62993,1.20097,1.04169,1.13111,0.000363239,0.000363239,0.000363239
81,621.663,1.03212,0.90678,1.18199,0.80827,0.92857,0.90269,0.58889,1.20865,1.10863,1.13106,0.000346736,0.000346736,0.000346736
82,628.867,0.96111,0.84242,1.16029,0.77166,0.92857,0.9,0.59431,1.19137,1.11863,1.1199,0.000330233,0.000330233,0.000330233
83,636.414,0.92804,0.82668,1.11515,0.76128,0.87768,0.9,0.60695,1.20869,1.10816,1.15221,0.000313729,0.000313729,0.000313729
84,644.149,1.00576,0.88383,1.1708,0.83399,0.86111,0.9,0.59464,1.19444,1.08865,1.14463,0.000297226,0.000297226,0.000297226
85,651.869,0.97639,0.85416,1.18203,0.75747,0.89754,0.90269,0.57121,1.21821,1.10253,1.16297,0.000280723,0.000280723,0.000280723
86,659.149,0.935,0.86539,1.12878,0.78623,0.81511,0.91097,0.57315,1.26574,1.14865,1.19311,0.00026422,0.00026422,0.00026422
87,667.018,0.91416,0.80766,1.11961,0.9282,0.72516,0.88393,0.56366,1.29555,1.23365,1.22261,0.000247716,0.000247716,0.000247716
88,674.88,0.99184,0.82346,1.16229,0.88649,0.71174,0.88458,0.59311,1.30787,1.24243,1.22876,0.000231213,0.000231213,0.000231213
89,682.704,0.95149,0.80835,1.12359,0.81297,0.65714,0.84022,0.57467,1.30251,1.27976,1.23017,0.00021471,0.00021471,0.00021471
90,690.432,0.876,0.80554,1.09939,0.81188,0.73077,0.89288,0.58102,1.25575,1.29557,1.20592,0.000198206,0.000198206,0.000198206
91,698.701,0.79106,0.84651,1.05205,0.7417,0.84536,0.89944,0.58507,1.19324,1.14726,1.18102,0.000181703,0.000181703,0.000181703
92,706.287,0.76771,0.80995,1.02912,0.88021,0.93064,0.96389,0.59957,1.19116,1.09353,1.17852,0.0001652,0.0001652,0.0001652
93,713.953,0.80544,0.82341,1.02946,0.878,0.91818,0.96944,0.60468,1.16959,1.06265,1.17092,0.000148696,0.000148696,0.000148696
94,721.332,0.76163,0.80994,1.00218,0.89814,0.90008,0.96944,0.60755,1.15677,1.01387,1.15235,0.000132193,0.000132193,0.000132193
95,728.903,0.70017,0.75198,1.01649,0.91035,0.90109,0.96944,0.60417,1.14966,0.99022,1.14496,0.00011569,0.00011569,0.00011569
96,736.556,0.74007,0.74371,1.02462,0.92783,0.82029,0.94087,0.607,1.14049,1.00191,1.13265,9.91865e-05,9.91865e-05,9.91865e-05
97,744.136,0.79498,0.84603,1.05261,0.92399,0.82251,0.8873,0.6185,1.13403,1.00258,1.12883,8.26832e-05,8.26832e-05,8.26832e-05
98,751.537,0.7324,0.73665,1.02698,0.92108,0.82137,0.8846,0.60852,1.14679,1.01347,1.13064,6.61799e-05,6.61799e-05,6.61799e-05
99,760.826,0.79763,0.80147,1.04041,0.93316,0.86078,0.88814,0.61077,1.13951,1.01082,1.11169,4.96766e-05,4.96766e-05,4.96766e-05
100,769.83,0.77268,0.73387,1.05772,0.93314,0.86247,0.89032,0.60722,1.13499,0.99901,1.10659,3.31733e-05,3.31733e-05,3.31733e-05
